,ID,male_regression,female_regression,male_female,value_map
0,1,7172.3600000000015,-2934.64,10107.000000000002,1.1140111374405433
1,2,1492.3,-840.4,2332.7,-0.47165228679820803
2,3,1662.28,75.21999999999991,1587.06,-0.6237346705047002
3,4,2760.1,21.699999999999967,2738.4,-0.3889048174165709
4,5,779.92,-1429.12,2209.04,-0.49687425392597045
5,6,1287.0,-634.84,1921.8400000000001,-0.5554522011934246
6,7,1700.8799999999999,-1312.62,3013.5,-0.3327948129135185
7,8,5099.02,-325.8800000000002,5424.900000000001,0.1590396649442082
8,9,2913.84,108.27999999999994,2805.5600000000004,-0.3752067152630812
9,10,3596.7400000000002,-153.83999999999995,3750.5800000000004,-0.18245834574118155
10,11,13986.119999999999,2076.38,11909.739999999998,1.4817019753825007
11,12,10697.019999999999,498.83999999999986,10198.179999999998,1.1326084119246878
12,13,10638.159999999998,-10456.260000000004,21094.420000000002,3.3550296240887736
13,14,13491.74,-1160.7000000000003,14652.44,2.0411091340539724
14,15,3163.5600000000004,-308.7200000000002,3472.2800000000007,-0.2392210293224228
15,16,1634.4,116.05999999999997,1518.3400000000001,-0.6377509537088069
16,17,1401.0000000000002,-16.34000000000005,1417.3400000000004,-0.6583511371141442
17,18,1075.1199999999997,98.63999999999999,976.4799999999997,-0.748269917867382
18,19,1169.7,-469.61999999999995,1639.32,-0.6130756053090277
19,20,3664.140000000001,652.8,3011.340000000001,-0.33323537129129577
20,21,3344.3199999999997,-80.32000000000009,3424.64,-0.24893778909896028
21,22,7263.400000000001,2644.2999999999997,4619.1,-0.00531308543223542
22,23,12283.620000000003,3555.28,8728.340000000002,0.8328165943355696
23,24,2620.6200000000003,-764.5400000000001,3385.1600000000003,-0.2569902172261158
24,25,2586.4000000000005,627.38,1959.0200000000004,-0.5478688861537172
25,26,3040.64,-2284.82,5325.46,0.13875766258948788
26,27,11998.6,-11081.079999999998,23079.68,3.759947644952931
27,28,9105.899999999998,-3059.8199999999997,12165.719999999998,1.5339122223933743
28,29,2352.42,-1784.2,4136.62,-0.10372077344616763
29,30,1043.26,-1690.2199999999998,2733.4799999999996,-0.3899083114992864
30,31,767.84,61.69999999999999,706.1400000000001,-0.8034090622416282
31,32,780.6999999999999,-514.3199999999999,1295.02,-0.6832997948779151
32,33,3014.060000000001,-84.44000000000014,3098.500000000001,-0.3154580248991255
33,34,3513.3600000000006,-1003.2399999999999,4516.6,-0.02621921215547378
34,35,1699.5000000000002,-760.9600000000002,2460.4600000000005,-0.44559407460151584
35,36,850.9000000000001,-835.5200000000001,1686.42,-0.6034689851269347
36,37,1341.34,-555.7600000000001,1897.1,-0.5604982263166727
37,38,1619.1200000000001,-1233.28,2852.4,-0.3656531252560911
38,39,572.52,-1055.64,1628.16,-0.6153518235942115
39,40,4074.14,-2418.2000000000003,6492.34,0.37675708845107203
40,41,815.66,-335.41999999999996,1151.08,-0.7126581156636997
41,42,1128.1800000000003,-1690.6200000000003,2818.8000000000006,-0.3725062555770745
42,43,1127.76,-1249.12,2376.88,-0.4626412362749624
43,44,1420.84,-549.28,1970.12,-0.5456049056012496
44,45,1203.5000000000002,-230.67999999999995,1434.1800000000003,-0.654916413465175
45,46,1198.0,-2456.0800000000004,3654.0800000000004,-0.20214069919281571
46,47,1696.9599999999998,-1249.1,2946.0599999999995,-0.34655002448634975
