measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2007,16.19055549990731,19.279267614866995,13.603263664859472
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2008,19.397637137055764,22.969143568395992,16.428853573793614
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2008,16.30044063549568,19.30864444175282,13.716770399396447
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2009,19.4144601960937,22.939023604131595,16.48245584046262
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2009,16.40285307744932,19.532102675386138,13.855876858397776
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2010,19.422977448136,23.230569450677365,16.43158488110354
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2010,16.4717800407459,19.70013693023832,13.829221543625723
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2011,19.428485586802545,23.033128383054617,16.441771975722858
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2011,16.516008505752037,19.626020938751264,13.91094067914889
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2012,19.433842630148927,22.953538937832036,16.423520971181766
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2012,16.559160005118503,19.654638295634008,13.935367707778381
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2013,19.43066233376426,23.026279331585954,16.408188068177463
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2013,16.597473582249233,19.65412738000645,14.00695014528584
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2014,19.410558453237673,23.08384830760852,16.272586219696485
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2014,16.627188280548186,19.68803672731495,13.889764202571445
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2015,19.365144744158286,23.131550282948467,16.023625461717668
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2015,16.644543143419295,19.744669990505166,13.846037110707993
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2016,19.040643429796066,22.61333974545152,15.938741515781617
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2016,16.58582490780323,19.515081375183012,13.910674176711044
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2017,18.75415386483665,22.37883795468569,15.644867965983932
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2017,16.519492257235253,19.47302002374203,13.78442522642066
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2018,18.863915104604015,22.29948302972035,15.777684593093388
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2018,16.314607317706308,19.165262510784807,13.730341618997672
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2019,19.202111013889763,22.80864559850582,15.936777450257257
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2019,15.88915535719041,18.779866517906076,13.271632575353031
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,1990,19.45512690536872,23.06201574832916,16.245520457441295
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,1990,16.090461944647824,19.041566708816255,13.493538557727806
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,1991,19.439895530780916,23.038937883370703,16.20290231211938
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,1991,16.050417709392676,18.842622264284515,13.484292948993913
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,1992,19.423927624101466,22.89627925641149,16.369622135531333
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,1992,16.01679164397134,18.778946093877046,13.460216933875149
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,1993,19.408512576725812,22.920757079873745,16.348326785489522
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,1993,15.990879919075674,18.69425105804794,13.452729005706635
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,1994,19.39493978004942,22.952959412905013,16.297682213558538
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,1994,15.973978705397524,18.714964130501635,13.382360590393143
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,1995,19.384498625467735,23.08601412814903,16.29593582080069
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,1995,15.967384173628746,18.79849431163594,13.334766314263844
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,1996,19.371795085368323,22.926424299202694,16.323258645494587
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,1996,15.972713178627579,18.75102772174099,13.445059000178885
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,1997,19.353173825997956,22.926363476439985,16.30951644167487
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,1997,15.987016783498115,18.765611857122146,13.513445571514392
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,1998,19.332532279540906,22.902002307999258,16.2757613040002
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,1998,16.004742471300982,18.829224559187203,13.491108630456068
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,1999,19.31376787818146,22.86278139939822,16.23836749324894
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,1999,16.020337725096816,18.905954981825484,13.491729221833829
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2000,19.300778054103883,22.886916886658366,16.07889753671702
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2000,16.028250027946246,18.97301278515924,13.438573932449742
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2001,19.28797274759928,22.69181450962722,16.18292869995017
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2001,16.029045502938047,18.854661204828115,13.5066280670778
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2002,19.270173965961256,22.60255231882291,16.21282514946689
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2002,16.028083266643772,19.004135094981642,13.532463955554643
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2003,19.25189724187788,22.553669140942038,16.236629157448874
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2003,16.027000292348234,19.064195854702284,13.470592819659107
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2004,19.23765810803721,22.57203410775615,16.181524373076826
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2004,16.027433553336248,19.16011609118944,13.41431715421671
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2005,19.231972097127297,22.64693613823647,16.116188566385706
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2005,16.03102002289262,19.23147813460769,13.325675997106798
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2006,19.245951865334504,22.63998299064221,16.17524553254179
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2006,16.06865941128598,19.19429267141136,13.419467206314035
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2007,19.280023961099864,22.5822985350057,16.254147720929094
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2007,16.15261076428045,19.233041734408815,13.469706350980783
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2008,19.32267475549347,22.64963734295369,16.34797556301213
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2008,16.256550058404077,19.30042935117685,13.629484111335312
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2009,19.362390619585426,22.76486008723687,16.326931953037516
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2009,16.35415327018492,19.404970726561416,13.690001081283269
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2010,19.387657924445822,22.950479878291635,16.287267688233744
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2010,16.419096376151032,19.528660886599177,13.754312424056101
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2011,19.40215655448077,22.801079901104416,16.339451903031406
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2011,16.458933774406383,19.55313361306205,13.819918187445317
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2012,19.411926701451904,22.80113226708238,16.35517534309607
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2012,16.498601963189817,19.51167237994438,13.914066763353258
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2013,19.40899519746263,22.85201184720042,16.3185229309984
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2013,16.537850069231666,19.576582605060974,13.905776215791192
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2014,19.385388874616357,22.805177906337743,16.187054392518345
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2014,16.576427219262253,19.57840635261371,13.91342396889681
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2015,19.333134565016486,22.754667242096964,16.163590542527334
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2015,16.61408254001192,19.637003016299253,13.869789415543458
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2016,19.0288732448639,22.297929285787628,16.023488939830262
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2016,16.64438913511978,19.53304292865891,13.975653484076238
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2017,18.76547409304763,22.07618970506516,15.648952941894768
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2017,16.650823433742595,19.616860623277226,13.833822652911904
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2018,18.847027573134987,22.208379526460167,15.879311465117162
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2018,16.426619607368913,19.393043005743607,13.828531806824818
Incidence,Mie,Male,Age-standardized,Schizophrenia,Rate,2019,19.11213487256515,22.694384873133888,15.997987766434699
Incidence,Mie,Female,Age-standardized,Schizophrenia,Rate,2019,15.934219745564308,18.893970189713208,13.40267289703247
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,1990,19.26984097657308,22.846148531810996,16.007549018842774
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,1990,16.091143766495335,18.810942802934186,13.441374498886528
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,1991,19.285190590438212,22.82125923611769,16.170024409960398
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,1991,16.062216623134255,18.80782409797583,13.511457306498784
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,1992,19.297827149456047,22.89008987603867,16.283454423674176
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,1992,16.03699659183941,18.873395457181395,13.468384644181356
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,1993,19.307318184581185,22.914684555699413,16.316611388262807
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,1993,16.016414694760556,18.809707397817096,13.451785799009459
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,1994,19.313231226768195,22.94350640624499,16.288269117536526
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,1994,16.001401954047445,18.873582991594457,13.470784293952347
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,1995,19.315133806971687,22.859448305551776,16.269923542235286
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,1995,15.992889391849834,19.05440595978484,13.437157715557115
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,1996,19.31203048170384,22.90867689519245,16.252741794343564
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,1996,15.99189194293708,19.011801754038345,13.425676469753267
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,1997,19.3046913719458,22.845132963084804,16.25662357115697
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,1997,15.996693171074583,18.893825201250188,13.424455536911243
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,1998,19.295332355355594,22.682384963741143,16.293964807628534
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,1998,16.004127041906127,18.828225226957944,13.471262246674812
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,1999,19.286169309591234,22.78983603064372,16.289338613062608
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,1999,16.011027521075516,18.890816940163685,13.416115037099454
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2000,19.27941811231073,22.922228916750615,16.237136680970046
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2000,16.014228574226557,18.99189883407188,13.348730386058776
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2001,19.27143883992694,22.842778761183418,16.283277634836033
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2001,16.010101403985303,18.981799291351265,13.429651558846134
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2002,19.259737539634767,22.82380149142147,16.233948445438667
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2002,16.00116399660276,18.97082823178508,13.392369977959245
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2003,19.24824904526529,22.64885422290236,16.223823941795782
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2003,15.993470493160162,19.001879110492478,13.359151572285484
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2004,19.24090819064959,22.76874154285706,16.259246656368752
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2004,15.993075034738741,19.015206670871294,13.382656140925498
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2005,19.24164980961876,22.82040280789015,16.190862076948623
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2005,16.00603176241972,19.060445863056042,13.410660904898991
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2006,19.266304752195857,22.84406108616727,16.220633782341157
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2006,16.05425605195715,19.107981735658733,13.423959929893044
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2007,19.317028420912003,22.89196102328228,16.220338803170762
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2007,16.140767261878132,19.20471394725834,13.5460478713597
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2008,19.37724247836037,22.94596553240171,16.223176840412854
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2008,16.243275507423515,19.256392989630946,13.603528776817196
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2009,19.430368587134133,23.125797582539192,16.26287878157874
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2009,16.339490903834132,19.406769819886737,13.633910379993292
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2010,19.459828409826457,23.26669301923758,16.20216246122313
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2010,16.407123566350826,19.615758637414782,13.61728331492149
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2011,19.463444547460945,23.123782382730116,16.257930726090823
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2011,16.455105611478892,19.59407744355063,13.762259606786344
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2012,19.45039002812178,23.085591298544838,16.31633822421365
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2012,16.505515987416228,19.573813904552402,13.850388867746931
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2013,19.421112154993082,23.067763041739337,16.307412588269212
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2013,16.555785056942597,19.539916557262156,13.90911519426227
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2014,19.376058231258938,22.907785469200174,16.297587097558257
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2014,16.603343182837765,19.632225501448435,13.93876865522684
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2015,19.315675560103458,22.919067219362624,16.162654684753225
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2015,16.645620727881493,19.68717634381091,13.909096030936306
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2016,19.053888489186505,22.487611491478166,16.009092085338857
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2016,16.634782766656308,19.552576372238587,13.98348361024187
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2017,18.834090568858798,22.234095398867577,15.705751796916726
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2017,16.60173904730781,19.66457157283354,13.787572684781894
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2018,18.915312515455128,22.394752858943143,15.801411744589597
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2018,16.404257718609955,19.386024041851968,13.602938699848185
Incidence,Miyagi,Male,Age-standardized,Schizophrenia,Rate,2019,19.16543274882503,22.964770942783854,15.940013423799954
Incidence,Miyagi,Female,Age-standardized,Schizophrenia,Rate,2019,15.97862104973542,18.907558917242973,13.202080971574865
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,1990,19.285697175533947,22.730450588399865,16.130474522256858
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,1990,16.0839195978204,18.9128897745029,13.372484109368513
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,1991,19.30762258152811,22.841198879013053,16.194365517604464
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,1991,16.050034277141943,18.837620635110696,13.386661069331643
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,1992,19.32234036030559,22.901272397676635,16.284525543119155
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,1992,16.020594459506786,18.83410251938359,13.420383193095777
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,1993,19.33099010180177,23.00866193820114,16.27593771598952
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,1993,15.996720930957059,18.877694372420745,13.420099176727675
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,1994,19.334711395952056,23.032013140063537,16.18102084765379
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,1994,15.979534477534912,18.930632542653054,13.424445151493662
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,1995,19.334643832691828,23.112309249685985,16.17353671280335
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,1995,15.970155885282471,19.00378376356447,13.326549023652785
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,1996,19.321341633382467,23.00218784956221,16.121146889862153
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,1996,15.968035616771811,18.92985220419506,13.395679907466311
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,1997,19.291907375955343,22.919359963366023,16.048787034171593
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,1997,15.970518620271385,18.88815224563921,13.332452064300155
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,1998,19.257303185200847,22.866946687481583,16.007722351010486
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,1998,15.975567410367914,18.970458358171665,13.332177794621703
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,1999,19.228491185909373,22.823670079984012,15.949008745503386
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,1999,15.981144501648128,19.004782428493936,13.342017089265955
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2000,19.21643350287131,22.8328715839714,15.956555232533852
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,2000,15.985212408698752,19.026852855989755,13.340160364996311
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2001,19.225125986605473,22.86730477192215,15.978664371829737
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,2001,15.98955832892357,18.988954618876672,13.36008801030293
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2002,19.24674690365132,22.964322318586188,16.036052662571223
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,2002,15.997199097108844,19.06896662833515,13.405893285969427
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2003,19.274532002830213,22.91941628866715,16.157525016217814
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,2003,16.007941683915,18.972852111813552,13.421508708196987
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2004,19.301717032963523,23.016823161954026,16.132766966344988
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,2004,16.021593060002466,18.91326495692566,13.36688384453595
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2005,19.321537742872607,23.08162545231776,16.033945999121087
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,2005,16.037960196031666,18.857254994963363,13.301742849591141
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2006,19.33715111517816,23.00169479477807,16.121526084327673
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,2006,16.08856929144312,18.946331465846875,13.44687804752169
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2007,19.354973048276236,22.946166749918344,16.220763950493144
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,2007,16.18643383197674,19.1825675149422,13.599687531666813
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2008,19.37312766465129,23.00239758170957,16.229318461410077
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,2008,16.303591717742,19.304058022359374,13.788457385503545
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2009,19.389739086787777,23.039975161435475,16.151804666857927
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,2009,16.412080848848397,19.421747405053313,13.890179245168842
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2010,19.402931437170132,23.12194732856406,16.111893938219154
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,2010,16.483939125405417,19.58087316118146,13.910280444095386
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2011,19.4109209077517,23.006621713048734,16.17705416351216
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,2011,16.52570957793136,19.552180213046054,14.01556620999074
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2012,19.410732234515297,22.9188127039128,16.240680302523316
Incidence,Ōsaka,Female,Age-standardized,Schizophrenia,Rate,2012,16.562885697841057,19.49359327005176,14.05184611064401
Incidence,Ōsaka,Male,Age-standardized,Schizophrenia,Rate,2013,19.398702355989524,22.847176586651493,16.281351582227998
