,調査年,地域,F110801_非労働力人口（男）【人】,F110802_非労働力人口（女）【人】
199,1979,宮城県,,
200,1979,宮崎県,,
201,1979,富山県,,
202,1979,山口県,,
203,1979,山形県,,
204,1979,山梨県,,
205,1979,岐阜県,,
206,1979,岡山県,,
207,1979,岩手県,,
208,1979,島根県,,
209,1979,広島県,,
210,1979,徳島県,,
211,1979,愛媛県,,
212,1979,愛知県,,
213,1979,新潟県,,
214,1979,東京都,,
215,1979,栃木県,,
216,1979,沖縄県,,
217,1979,滋賀県,,
218,1979,熊本県,,
219,1979,石川県,,
220,1979,神奈川県,,
221,1979,福井県,,
222,1979,福岡県,,
223,1979,福島県,,
224,1979,秋田県,,
225,1979,群馬県,,
226,1979,茨城県,,
227,1979,長崎県,,
228,1979,長野県,,
229,1979,青森県,,
230,1979,静岡県,,
231,1979,香川県,,
232,1979,高知県,,
233,1979,鳥取県,,
234,1979,鹿児島県,,
235,1980,三重県,113620.0,355190.0
236,1980,京都府,186046.0,544252.0
237,1980,佐賀県,62350.0,171296.0
238,1980,兵庫県,328210.0,1198705.0
239,1980,北海道,364508.0,1239258.0
240,1980,千葉県,286636.0,1008590.0
241,1980,和歌山県,74955.0,251146.0
242,1980,埼玉県,313847.0,1126570.0
243,1980,大分県,88137.0,264672.0
244,1980,大阪府,536078.0,1901854.0
245,1980,奈良県,81381.0,304129.0
246,1980,宮城県,146009.0,440476.0
247,1980,宮崎県,79216.0,221556.0
248,1980,富山県,68088.0,199199.0
249,1980,山口県,105326.0,337461.0
250,1980,山形県,87810.0,240666.0
251,1980,山梨県,54701.0,160135.0
252,1980,岐阜県,121159.0,363160.0
253,1980,岡山県,123447.0,375077.0
254,1980,岩手県,93056.0,262113.0
255,1980,島根県,52943.0,141957.0
256,1980,広島県,175507.0,553214.0
257,1980,徳島県,61247.0,168356.0
258,1980,愛媛県,105783.0,320054.0
259,1980,愛知県,368299.0,1185044.0
260,1980,新潟県,158478.0,446546.0
261,1980,東京都,865925.0,2483201.0
262,1980,栃木県,109778.0,336501.0
263,1980,沖縄県,76037.0,237820.0
264,1980,滋賀県,65727.0,218124.0
265,1980,熊本県,144986.0,375253.0
266,1980,石川県,74685.0,199224.0
267,1980,神奈川県,433871.0,1549574.0
268,1980,福井県,49901.0,130030.0
269,1980,福岡県,350856.0,1030224.0
270,1980,福島県,138695.0,377992.0
271,1980,秋田県,86316.0,266294.0
272,1980,群馬県,110508.0,356347.0
273,1980,茨城県,160741.0,500685.0
274,1980,長崎県,120432.0,355723.0
275,1980,長野県,124167.0,365054.0
276,1980,青森県,99218.0,308992.0
277,1980,静岡県,193585.0,639557.0
278,1980,香川県,65504.0,199350.0
279,1980,高知県,61288.0,162526.0
280,1980,鳥取県,40499.0,102901.0
281,1980,鹿児島県,134469.0,378575.0
282,1981,三重県,,
283,1981,京都府,,
284,1981,佐賀県,,
285,1981,兵庫県,,
286,1981,北海道,,
287,1981,千葉県,,
288,1981,和歌山県,,
289,1981,埼玉県,,
290,1981,大分県,,
291,1981,大阪府,,
292,1981,奈良県,,
293,1981,宮城県,,
294,1981,宮崎県,,
295,1981,富山県,,
296,1981,山口県,,
297,1981,山形県,,
298,1981,山梨県,,
299,1981,岐阜県,,
300,1981,岡山県,,
301,1981,岩手県,,
302,1981,島根県,,
303,1981,広島県,,
304,1981,徳島県,,
305,1981,愛媛県,,
306,1981,愛知県,,
307,1981,新潟県,,
308,1981,東京都,,
309,1981,栃木県,,
310,1981,沖縄県,,
311,1981,滋賀県,,
312,1981,熊本県,,
313,1981,石川県,,
314,1981,神奈川県,,
315,1981,福井県,,
316,1981,福岡県,,
317,1981,福島県,,
318,1981,秋田県,,
319,1981,群馬県,,
320,1981,茨城県,,
321,1981,長崎県,,
322,1981,長野県,,
323,1981,青森県,,
324,1981,静岡県,,
325,1981,香川県,,
326,1981,高知県,,
327,1981,鳥取県,,
328,1981,鹿児島県,,
329,1982,三重県,,
330,1982,京都府,,
331,1982,佐賀県,,
332,1982,兵庫県,,
333,1982,北海道,,
334,1982,千葉県,,
335,1982,和歌山県,,
336,1982,埼玉県,,
337,1982,大分県,,
338,1982,大阪府,,
339,1982,奈良県,,
340,1982,宮城県,,
341,1982,宮崎県,,
342,1982,富山県,,
343,1982,山口県,,
344,1982,山形県,,
345,1982,山梨県,,
346,1982,岐阜県,,
347,1982,岡山県,,
348,1982,岩手県,,
349,1982,島根県,,
350,1982,広島県,,
351,1982,徳島県,,
352,1982,愛媛県,,
