"tab_code","表章項目","area_code","地域2010","time_code","時間軸（調査年）","unit","value"
"104","人口密度","16000","富山県","2000000000","2000年","１km2当たり","264"
"104","人口密度","16000","富山県","2005000000","2005年","１km2当たり","262"
"104","人口密度","16000","富山県","2010000000","2010年","１km2当たり","257.4"
"104","人口密度","17000","石川県","1990000000","1990年","１km2当たり","278"
"104","人口密度","17000","石川県","1995000000","1995年","１km2当たり","282"
"104","人口密度","17000","石川県","2000000000","2000年","１km2当たり","282"
"104","人口密度","17000","石川県","2005000000","2005年","１km2当たり","281"
"104","人口密度","17000","石川県","2010000000","2010年","１km2当たり","279.5"
"104","人口密度","18000","福井県","1990000000","1990年","１km2当たり","197"
"104","人口密度","18000","福井県","1995000000","1995年","１km2当たり","197"
"104","人口密度","18000","福井県","2000000000","2000年","１km2当たり","198"
"104","人口密度","18000","福井県","2005000000","2005年","１km2当たり","196"
"104","人口密度","18000","福井県","2010000000","2010年","１km2当たり","192.4"
"104","人口密度","19000","山梨県","1990000000","1990年","１km2当たり","191"
"104","人口密度","19000","山梨県","1995000000","1995年","１km2当たり","198"
"104","人口密度","19000","山梨県","2000000000","2000年","１km2当たり","199"
"104","人口密度","19000","山梨県","2005000000","2005年","１km2当たり","198"
"104","人口密度","19000","山梨県","2010000000","2010年","１km2当たり","193.3"
"104","人口密度","20000","長野県","1990000000","1990年","１km2当たり","159"
"104","人口密度","20000","長野県","1995000000","1995年","１km2当たり","161"
"104","人口密度","20000","長野県","2000000000","2000年","１km2当たり","163"
"104","人口密度","20000","長野県","2005000000","2005年","１km2当たり","162"
"104","人口密度","20000","長野県","2010000000","2010年","１km2当たり","158.7"
"104","人口密度","21000","岐阜県","1990000000","1990年","１km2当たり","195"
"104","人口密度","21000","岐阜県","1995000000","1995年","１km2当たり","198"
"104","人口密度","21000","岐阜県","2000000000","2000年","１km2当たり","199"
"104","人口密度","21000","岐阜県","2005000000","2005年","１km2当たり","198"
"104","人口密度","21000","岐阜県","2010000000","2010年","１km2当たり","195.9"
"104","人口密度","22000","静岡県","1990000000","1990年","１km2当たり","472"
"104","人口密度","22000","静岡県","1995000000","1995年","１km2当たり","480"
"104","人口密度","22000","静岡県","2000000000","2000年","１km2当たり","484"
"104","人口密度","22000","静岡県","2005000000","2005年","１km2当たり","488"
"104","人口密度","22000","静岡県","2010000000","2010年","１km2当たり","483.9"
"104","人口密度","23000","愛知県","1990000000","1990年","１km2当たり","1300"
"104","人口密度","23000","愛知県","1995000000","1995年","１km2当たり","1334"
"104","人口密度","23000","愛知県","2000000000","2000年","１km2当たり","1366"
"104","人口密度","23000","愛知県","2005000000","2005年","１km2当たり","1405"
"104","人口密度","23000","愛知県","2010000000","2010年","１km2当たり","1434.8"
"104","人口密度","24000","三重県","1990000000","1990年","１km2当たり","310"
"104","人口密度","24000","三重県","1995000000","1995年","１km2当たり","319"
"104","人口密度","24000","三重県","2000000000","2000年","１km2当たり","322"
"104","人口密度","24000","三重県","2005000000","2005年","１km2当たり","323"
"104","人口密度","24000","三重県","2010000000","2010年","１km2当たり","321"
"104","人口密度","25000","滋賀県","1990000000","1990年","１km2当たり","304"
"104","人口密度","25000","滋賀県","1995000000","1995年","１km2当たり","320"
