,調査年,地域,地,総人口【人】,日本人人口【人】,未婚人口（15歳以上）【人】,有配偶人口（15歳以上）【人】,離別人口（15歳以上）【人】,外国人人口【人】,死亡数【人】,年齢調整死亡率【‐】,転入者数【人】,転出者数【人】,入国者数（日本人）【人】,出国者数（日本人）【人】,従業も通学もしていない人口【人】,自市区町村で従業・通学している人口【人】,流出人口（県内他市区町村で従業・通学している人口）【人】,流出人口（他県で従業・通学している人口）【人】,流入人口（県内他市区町村に常住している人口）【人】,流入人口（他県に常住している人口）【人】,昼間人口【人】,高齢単身世帯数（65歳以上の者1人）【世帯】,母子世帯数【世帯世帯数【世帯】,平均婚姻年齢（初婚の夫）【歳婚姻年齢（初婚の夫）【歳】,農業就業人口（販売農家）【人】,幼稚園教員数【人】,幼稚園在園者数【人】,幼稚園在園者数（公立）【人】,小学校教員数【人】,小学校児童数（公立）【人】,小学校児童数【人】,中学校教員数【人】,中学校生徒数（公立）【人】,中学校生徒数【人】,中学校卒業者のうち進学者数【人】,中学校卒業者のうち就職者数【人】,高等学校教員数【人】,高等学校生徒数【人】,高等学校生徒数（全日制）【人】,高等学校生徒数（定時制）【人】,高等学校生徒数（国立）【人】,高等学校生徒数（公立）【人】,高等学校生徒数（私立）【人】,高等学校生徒数（通信制）【人】,高等学校卒業者のうち進学者数【人】,高等学校卒業者のうち専修学校等入学者数【人】,高等学校卒業者のうち就職者数【人】,高等学校卒業者の就職者のうち県内就職者数【人】,高等学校卒業者のうち家事手伝い・外国の大学入学者・進路未定者数【人】,高等学校卒業者の進学希望者数（新規高等学校卒業者）【人】,短期大学教員数【人】,大学教員数【人】,短期大学学生数【人】,大学学生数【人】,大学学生数（国立）【人】,大学学生数（公立）【人】,大学学生数（私立）【人】,短期大学卒業者のうち進学者数【人】,短期大学卒業者のうち就職者数【人】,短期大学卒業者のうち家事手伝い・進路未定者数【人】,大学卒業者のうち進学者数【人】,大学卒業者のうち就職者数【人】,大学卒業者のうち家事手伝い・進路未定者数【人】,最終学歴人口（卒業者総数）【人】,最終学歴人口（小学校・中学校・高小）【人】,最終学歴人口（高校・旧中）【人】,最終学歴人口（短大・高専）【人】,最終学歴人口（大学・大学院）【人】,未就学者数【人】,労働力人口【人】,就業者数【人】,就業者数・主に仕事【人】,就業者数・家事のほか仕事【人】,就業者数・通学のかたわら仕事【人】,就業者数・休業者【人】,完全失業者数【人】,非労働力人口【人】,非労働力人口・家事【人】,非労働力人口・通学【人】,非労働力人口・その他【人】,15歳以上人口（就業構造基本調査結果）【千人】,農林漁業者【人】,農林漁業雇用者【人】,会社団体役員【人】,商店主【人】,工場主【人】,サービス・その他の事業主【人】,専門職業者【人】,技術者【人】,教員・宗教家【人】,文筆家・芸術家・芸能家【人】,管理職【人】,事務職【人】,販売人【人】,技能者【人】,労務作業者【人】,個人サービス人【人】,保安職【人】,65歳以上の単身者世帯（完全失業者数）【世帯】,65歳以上の単身者世帯（非労働力人口）【世帯】,第1次産業就業者数【人】,第2次産業就業者数【人】,第3次産業就業者数【人】,役員数【人】,雇人のある業主数【人】,雇人のない業主数【人】,家族従業者数【人】,自営業主及び家族従業者数【人】,専門的・技術的職業従事者数（‐2005）【人】,管理的職業従事者数（‐2005）【人】,事務従事者数（‐2005）【人】,販売従事者数（‐2005）【人】,農林漁業作業者数（‐2005）【人】,運輸・通信従事者数（‐2005）【人】,保安職業従事者数（‐2005）【人】,サービス職業従事者数（‐2005）【人】,継続就業希望者数【千人】,追加就業希望者数【千人】,転職希望者数【千人】,就業休止希望者数【千人】,非就業希望者数【千人】,継続就業者数【千人】,転職者数【千人】,離職者数【千人】,新規就業者数【千人】,継続非就業者数【千人】,所定内実労働時間数（〜2019）【時間】,超過実労働時間数（〜2019）【時間】,所定内実労働時間数【時間】,超過実労働時間数【時間】,きまって支給する現金給与額（〜2019）【千円】,所定内給与額（〜2019）【千円】,女性パートタイムの給与（〜2019）【円パートタイムの給与（〜2019）【円】,労働日数【日】,新規学卒者初任給（高校）【千円】,新規学卒者初任給（大学）【千円】,ボランティア活動行動者率（10歳以上）【％】,スポーツ行動者率（10歳以上）【％】,旅行・行楽行動者率（10歳以上）【％】,旅行行動者率（10歳以上）【％】,海外旅行行動者率（10歳以上）【％】,国内旅行行動者率（10歳以上）【％】,行楽行動者率（10歳以上）【％】,学習・自己啓発・訓練行動者率（10歳以上）【％】,趣味・娯楽行動者率（10歳以上）【％】,テレビ・ラジオ・新聞・雑誌行動者率（10歳以上）【％】,インターネットの利用行動者率（10歳以上）【％】,平均余命（0歳）【年】,健康寿命【年】,身長（中学2年）【ｃｍ】,身長（高校2年）【ｃｍ】,体重（小学5年）【ｋｇ】,体重（中学2年）【ｋｇ】,体重（高校2年）【ｋｇ】,50ｍ走（小学5年）【秒】,50ｍ走（中学2年）【秒】,ソフトボール投げ（小学5年）【ｍ】,ハンドボール投げ（中学2年）【ｍ】,立ち幅跳び（小学5年）【ｃｍ】,立ち幅跳び（中学2年）【ｃｍ】,2500ｇ未満の出生数【人】,生活習慣病による死亡者数【人】,悪性新生物による死亡者数【人】,高血圧性疾患による死亡者数【人】,食事の平均時間（10歳以上）【分】,2次活動の平均時間（10歳以上）【分】,仕事の平均時間（10歳以上）【分】,学業の平均時間（10歳以上）【分】,家事の平均時間（10歳以上）【分】,介護・看護の平均時間（10歳以上）【分】,育児の平均時間（10歳以上）【分】,買い物の平均時間（10歳以上）【分】,3次活動の平均時間（10歳以上）【分】,移動の平均時間（通勤・通学を除く）（10歳以上）【分】,テレビ・ラジオ・新聞・雑誌の平均時間（10歳以上）【分】,休養・くつろぎの平均時間（10歳以上）【分】,学習・自己啓発・訓練の平均時間（学業以外）（10歳以上）【分】,趣味・娯楽の平均時間（10歳以上）【分】,スポーツの平均時間（10歳以上）【分】,ボランティア活動・社会参加活動の平均時間（10歳以上）【分】,交際・付き合いの平均時間（10歳以上）【分】,受診・療養の平均時間（10歳以上）【分】,分類不能の職業従事者数（‐2005）【人】,生産工程・労務作業者数（‐2005）【人】,自市区町村で従業している就業者数【人】,県内他市区町村で従業している就業者数【人】,他県で従業している就業者数【人】,県内就業者数【人】,他市区町村への通勤者数【人】,他県に常住している就業者数【人】,他市区町村からの通勤者数【人】,新規求職申込件数（一般）【件】,月間有効求職者数（一般）【人】,女性パートタイム労働者数（〜2019）【１０人パートタイム労働者数（〜2019）【１０人】,心疾患（高血圧性を除く）による死亡者数【人】,脳血管疾患による死亡者数【人】,自殺者数【人】,不慮の事故による死亡者数【人】,感染症及び寄生虫症による死亡者数【人】,結核による死亡者数【人】,呼吸器系の疾患による死亡者数【人】,肺炎による死亡者数【人】
0,1975年度,三重県,,1.0653414287165939,1.065984663872787,,,,,0.8877236273904997,0.6609168016773087,,,0.2869325183615123,0.29216198885216793,,,,,,,,,,0.9029850746268656,,27.25,,,1.200479780671693,,,0.4914689970869746,,,0.9828109201213346,,0.23115220483641535,0.9961966429873641,0.9734831016536004,1.4697802197802199,,0.9595331629734162,1.1680071492403932,1.3279944289693593,1.0898707544334234,1.4515195369030391,1.13279962326348,,0.20180305131761442,0.8661941580756014,0.512396694214876,0.04914933837429111,14.236842105263158,0.40453172205438065,0.35136157337367624,0.0,0.6231003039513677,8.0,14.309859154929578,55.0,0.05084745762711865,0.5836909871244635,0.7021276595744681,,,,,,,0.6227848873878457,,,,,,0.38685173028228453,3.509637326813366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0223463687150838,0.36363636363636365,,,0.5681040383299111,0.5946941783345616,,,0.8995873452544705,,,,,,,,,,,,,1.0709407665505226,,0.9794871794871796,0.927933293627159,1.0095238095238095,1.0021929824561404,0.8946459412780656,,,,,,,1.1991643454038998,0.9367945823927766,0.8001605136436597,1.320754716981132,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9360710854947166,1.1392190493385088,,0.9408658922914467,1.00587084148728,0.851063829787234,0.32808988764044944,,0.4214876033057851,,
1,1975年度,京都府,,1.0362328211518792,1.0379527362289966,,,,,0.9226464370103221,0.6913440805010781,,,0.38013983685700015,0.3860113342778565,,,,,,,,,,0.9157509157509157,,14.643410852713178,,,1.578646329837941,,,0.5084048027444253,,,0.9770226055919096,,0.23144453312051078,1.0353059369468498,1.0766290498725883,0.5606332138590203,0.8825214899713467,0.8380147674507117,1.3802278864519528,1.1090534979423867,1.3501901991496978,1.0813953488372092,1.388254940161425,,0.35290031260854465,0.8719929095973664,0.4946808510638298,0.05404298874104401,10.063480209111278,0.29414718718239974,0.139731142643764,0.5147247119078106,0.31923474513343914,2.230769230769231,26.485915492957748,17.176470588235293,0.0975800156128025,0.20464547677261613,1.1442112389979688,,,,,,,0.5954095305621546,,,,,,0.4444444444444444,3.121202336747568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989010989010989,0.38461538461538464,,,0.6286266924564797,0.652113652113652,,,0.9773371104815864,,,,,,,,,,,,,1.0642984992427371,,0.9821656050955413,0.9311572700296736,1.0125786163522013,0.9871244635193133,0.9041811846689896,,,,,,,1.0660633484162896,0.9551848874598071,0.787861599546228,1.1970443349753694,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101215258242377,1.1009109356881635,,1.047068538398018,1.021854695806261,0.7813765182186235,0.42630385487528344,,0.3615819209039548,,
2,1975年度,佐賀県,,1.1225152726010423,1.1231128542959776,,,,,0.9091940976163451,0.6502164502164502,,,0.2781709308655416,0.2867904223836427,,,,,,,,,,0.9210526315789473,,8.338709677419354,,,1.3294915254237287,,,0.47315436241610737,,,0.9932995830851697,,0.16832721552176194,0.970102653862529,0.9949703249170103,0.5767700875099443,,0.839676204395975,1.662686567164179,2.3925081433224755,1.2420036210018106,1.0172955974842768,0.985285462036492,,0.5233160621761658,0.8246940244780417,0.7169811320754716,0.09473684210526316,33.016666666666666,0.2827852998065764,0.24531312325488633,,1.4871794871794872,inf,93.14285714285714,6.166666666666667,0.014925373134328358,0.3226837060702875,0.5384615384615384,,,,,,,0.7599060554514605,,,,,,0.48138260503020935,2.8259000537345513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0164835164835164,0.4,,,0.5892586989409986,0.6063999999999999,,,0.9006309148264985,,,,,,,,,,,,,1.0805907172995781,,0.9864165588615783,0.9301075268817204,1.019672131147541,1.0298850574712644,0.9202127659574468,,,,,,,0.9642058165548099,0.9337016574585635,0.7391857506361323,1.1869158878504673,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9828685757158935,1.1492020256779807,,1.130801687763713,0.9768339768339769,0.726027397260274,0.5272727272727272,,0.38666666666666666,,
3,1975年度,兵庫県,,1.0348863988860615,1.0364710792875476,,,,,0.8600647170156909,0.6575556423272159,,,0.3429063126856592,0.34868178765624663,,,,,,,,,,0.9114391143911439,,18.827906976744185,,,1.6557556773688331,,,0.45326331582895724,,,0.9757897750771483,,0.19601453816267703,1.0795991178745858,1.1423591531245194,0.5089150448665657,,0.8875824574121058,1.8306680276738119,1.1674950298210736,1.3606385012425923,0.8990182328190743,1.349960722702278,,0.3238734835355286,0.9240596589220987,0.6797520661157025,0.15799842395587077,32.55298013245033,0.7370040253018977,0.23078725398313027,0.24146905725853093,1.0018432370753971,inf,20.638059701492537,948.0,0.17941952506596306,0.48611373512185907,4.8311688311688314,,,,,,,0.5003623225913312,,,,,,0.32773036433739117,4.196799356134507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0056818181818181,0.38461538461538464,,,0.5925925925925926,0.6269678302532512,,,0.9226594301221167,,,,,,,,,,,,,1.073934837092732,,0.9801916932907349,0.926959619952494,1.003154574132492,1.0,0.8752136752136752,,,,,,,1.0648379052369077,0.9062631800927878,0.7789566755083996,1.20708446866485,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6881645862228386,0.8137727785997976,,0.9980870396939263,0.9364940005853087,0.7867647058823529,0.3872832369942196,,0.40963855421686746,,
4,1975年度,北海道,,1.0364843960118797,1.0371256885442819,,,,,0.7830183259608203,0.6712354844850562,,,0.4475998850244323,0.45889866590973605,,,,,,,,,,0.9312977099236641,,9.597609561752988,,,0.34347800343418794,,,0.1997765939164805,,,0.96969043253155,,0.14419493549928333,0.9646682215210134,0.9716092163657365,0.9002913260031952,,0.8611947009788662,1.3617378993009468,1.51226036558181,0.8223584905660377,1.169811320754717,1.2260653823701109,,0.408100956645634,0.6194088254770935,0.38675213675213677,0.04902246863145608,2.7141843971631205,0.16847349978098994,0.20065891713806178,0.06756756756756757,0.14510866837323697,1.2428571428571429,2.9495450785773367,23.357142857142858,0.03368794326241135,0.13991587336727918,0.42857142857142855,,,,,,,0.5400021178906055,,,,,,0.5066895755288285,3.7797635831941934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.4666666666666667,,,0.5644599303135889,0.5896656534954408,,,0.9425981873111782,,,,,,,,,,,,,1.073887489504618,,0.9801790281329924,0.9302741358760428,1.0125786163522013,0.982905982905983,0.8981001727115717,,,,,,,1.123406005758947,0.8385436523065193,0.7014563106796117,1.2586206896551724,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5858790968576456,0.6403676491782512,,0.9371706526145116,0.8539716501738432,0.7548161120840631,0.26895043731778423,,0.38258575197889183,,
5,1975年度,千葉県,,0.9802209235453719,0.9808524404254779,,,,,0.8474072816769923,0.6531273836765827,,,0.3019825742919897,0.3105993420111572,,,,,,,,,,0.9120879120879121,,16.876106194690266,,,2.0079721995094033,,,0.5872144112478032,,,0.99625247378837,,0.1999604430379747,0.9877724442138038,1.0132490827558092,0.4505730659025788,,0.9224982385963317,1.150353806962921,3.106741573033708,1.1027690020442298,0.9732317736670294,1.1627622109937223,,0.5698924731182796,0.755535959239663,0.4497816593886463,0.08172043010752689,5.5148118494795835,0.16635943469316877,0.43842865866069614,,0.12525370563995325,1.5263157894736843,7.904382470119522,13.517241379310345,0.041401273885350316,0.12338746395507665,0.5921375921375921,,,,,,,0.47984524155563385,,,,,,0.359892536434565,3.872059401918115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0112359550561798,0.2857142857142857,,,0.6126066973079448,0.6489971346704871,,,0.9542302357836339,,,,,,,,,,,,,1.0705653562994861,,0.9820627802690584,0.929845422116528,1.025236593059937,1.0065217391304346,0.9094076655052266,,,,,,,1.0879795396419438,0.8839600056330095,0.7467755803955288,1.1143695014662756,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7223278515004802,0.7459877253932179,,0.8988057825267127,0.9566972477064221,0.6032608695652174,0.2895622895622896,,0.41566265060240964,,
6,1975年度,和歌山県,,1.0702534236523593,1.070973324615507,,,,,0.8813937904846996,0.6589407144909492,,,0.3057827521882623,0.30966173210326825,,,,,,,,,,0.9037037037037037,,19.675675675675677,,,1.4048603929679422,,,0.3997955010224949,,,0.9812739395658959,,0.2020253164556962,1.0162856862552732,1.0397817565420067,0.7221485411140584,,0.9290431501067581,8.129554655870445,3.5673913043478263,1.345088161209068,1.21865889212828,1.2414259927797835,,0.36316695352839934,0.9395638629283489,1.2,0.052132701421800945,1.6378737541528239,0.27590361445783135,0.36467751657625075,0.11602209944751381,0.08528784648187633,inf,2.6037735849056602,11.714285714285714,0.0,0.40173410404624277,0.6666666666666666,,,,,,,0.558550787818397,,,,,,0.29264262804937313,3.7704010858702626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0163934426229508,0.4,,,0.5954545454545455,0.6249110320284698,,,1.0221169036334914,,,,,,,,,,,,,1.0780350877192983,,0.9801663467690338,0.9274241522903035,1.0157232704402515,1.002178649237473,0.9038461538461539,,,,,,,1.0484848484848486,0.9074773413897281,0.7254697286012526,1.4615384615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7044475418144956,0.7660034602076125,,0.9868204283360791,0.9968717413972888,0.9661016949152542,0.3593220338983051,,0.5643564356435643,,
7,1975年度,埼玉県,,0.9782875581422067,0.9789099431489717,,,,,0.8195524901756356,0.6628359592215014,,,0.3004594820384294,0.30837240639652397,,,,,,,,,,0.9120879120879121,,12.630232558139534,,,1.7525925925925927,,,0.4930647919437583,,,0.9647036688617121,,0.2144573488185823,0.9531327320616171,0.9682804106887877,0.7196751375425727,1.096774193548387,0.916519670993955,1.1048191764804143,1.0794824399260627,0.961376994122586,1.8294367693942615,1.335579721243682,,0.31231035977459903,0.6331940055051484,0.6792452830188679,0.11847555923777962,4.6415094339622645,0.44390576167962176,0.45258136924803594,,0.44246050294475087,6.0,4.7578125,inf,0.11274509803921569,0.330072666294019,1.8993506493506493,,,,,,,0.4706073672081181,,,,,,0.3676763279014803,4.250398896386663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9944444444444445,0.38461538461538464,,,0.6162162162162163,0.6419213973799126,,,0.9603960396039605,,,,,,,,,,,,,1.0658041179744018,,0.9795134443021768,0.9262782401902498,1.0094637223974763,0.9978260869565218,0.9045138888888888,,,,,,,1.1487179487179486,0.8612593383137673,0.7726517040731504,1.0528052805280528,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6920239741816505,0.7869652521466409,,0.8947368421052632,0.8850726552179656,0.7548543689320388,0.3111353711790393,,0.5084745762711864,,
8,1975年度,大分県,,1.1189013101680434,1.119400933586812,,,,,0.8500656783636705,0.6382978723404256,,,0.2831537152580828,0.295459679241021,,,,,,,,,,0.9242424242424242,,20.61904761904762,,,0.805959805959806,,,0.24087591240875914,,,0.9796011918404768,,0.15074626865671642,1.0001792243171554,1.014866167420479,0.5714285714285714,,0.887020847343645,1.655869459327813,1.2588726513569937,0.9321404456448346,1.9194915254237288,1.0965073529411764,,0.640251572327044,0.7881002087682673,0.5487804878048781,0.05533596837944664,14.008620689655173,0.20219914477703116,0.4791183294663573,,0.05240037652965171,6.0,15.205128205128204,26.5,0.4,0.10485133020344288,0.6388888888888888,,,,,,,0.6975105075978015,,,,,,0.47810146650812524,3.1782411985759493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0164835164835164,0.3076923076923077,,,0.5402046783625731,0.5638214565387627,,,0.916923076923077,,,,,,,,,,,,,1.0802477826270591,,0.9838813668600903,0.928955223880597,1.0290322580645161,1.0133928571428572,0.8973913043478261,,,,,,,1.1577825159914712,0.9123541728985941,0.7391304347826086,1.2167832167832169,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9396153338321377,1.0763283129109846,,0.9739776951672863,0.9688715953307393,0.6190476190476191,0.3692722371967655,,0.3860759493670886,,
9,1975年度,大阪府,,1.003372054896618,1.004760972290627,,,,,0.8412394115024521,0.6754903827842316,,,0.34941245809850074,0.35568609252112743,,,,,,,,,,0.9154411764705882,,26.21323529411765,,,1.9642375868145538,,,0.6133872512503991,,,0.9346687400253714,,0.2218375499334221,0.88489688679442,0.9025548726297787,0.6477432296890672,0.6674285714285715,0.7958708262915087,1.0289946593533488,12.053374233128835,1.1745350500715308,0.8076685219542362,1.2318097427283177,,0.2859960552268245,0.7318132854578097,0.6053984575835476,0.07659457225513155,5.9535664888361985,0.19288343380477627,0.36288455176976514,0.2056019771684124,0.1744573224215896,1.5507246376811594,7.97548605240913,45.48717948717949,0.0919629057187017,0.13847805925708986,1.0862663906142167,,,,,,,0.4718269821816943,,,,,,0.3122987765614939,4.277990237440685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9776536312849162,0.45454545454545453,,,0.6023213194868662,0.6244284781188766,,,0.9721448467966574,,,,,,,,,,,,,1.069413407821229,,0.9808551372048501,0.9311572700296736,1.0125391849529781,1.0,0.8862068965517241,,,,,,,1.1350071056371387,0.8868656716417911,0.7273249138920781,1.321223709369025,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6074086492117757,0.6510263076503786,,0.9866708981275786,0.9471923536439666,0.7684563758389261,0.35254803675856305,,0.40691927512355847,,
